land_cover_land1_sea0_surface , soil_porosity_surface 1.0
u-component_of_wind_tropopause , u-component_of_wind_maximum_wind 0.9100167751312256
u-component_of_wind_maximum_wind , u-component_of_wind_tropopause 0.9100167751312256
temperature_tropopause , pressure_tropopause 0.8992692232131958
pressure_tropopause , temperature_tropopause 0.8992692232131958
water_equiv_of_accum_snow_depth_surface , snow_depth_surface 0.8887887001037598
snow_depth_surface , water_equiv_of_accum_snow_depth_surface 0.8887887001037598
land_cover_land1_sea0_surface , wilting_point_surface 0.8869174122810364
land_cover_land1_sea0_surface , direct_evaporation_cease_soil_moisture_surface 0.8869174122810364
soil_porosity_surface , wilting_point_surface 0.8869174122810364
soil_porosity_surface , direct_evaporation_cease_soil_moisture_surface 0.8869174122810364
wilting_point_surface , land_cover_land1_sea0_surface 0.8869174122810364
wilting_point_surface , soil_porosity_surface 0.8869174122810364
direct_evaporation_cease_soil_moisture_surface , land_cover_land1_sea0_surface 0.8869174122810364
direct_evaporation_cease_soil_moisture_surface , soil_porosity_surface 0.8869174122810364
geopotential_height_lltw , temperature_surface 0.8841427564620972
temperature_surface , geopotential_height_lltw 0.8841427564620972
geopotential_height_lltw , geopotential_height_zerodegc_isotherm 0.8662493228912354
geopotential_height_zerodegc_isotherm , geopotential_height_lltw 0.8662493228912354
transpiration_stress-onset_soil_moisture_surface , soil_type_as_in_zobler_surface 0.8632659316062927
soil_type_as_in_zobler_surface , transpiration_stress-onset_soil_moisture_surface 0.8632659316062927
number_of_soil_layers_in_root_zone_surface , wilting_point_surface 0.8594407439231873
number_of_soil_layers_in_root_zone_surface , direct_evaporation_cease_soil_moisture_surface 0.8594407439231873
wilting_point_surface , number_of_soil_layers_in_root_zone_surface 0.8594407439231873
direct_evaporation_cease_soil_moisture_surface , number_of_soil_layers_in_root_zone_surface 0.8594407439231873
upward_long_wave_rad_flux_surface , downward_long_wave_rad_flux_surface 0.846514880657196
downward_long_wave_rad_flux_surface , upward_long_wave_rad_flux_surface 0.846514880657196
downward_long_wave_rad_flux_surface , temperature_surface 0.8308757543563843
temperature_surface , downward_long_wave_rad_flux_surface 0.8308757543563843
geopotential_height_lltw , upward_long_wave_rad_flux_surface 0.828170120716095
upward_long_wave_rad_flux_surface , geopotential_height_lltw 0.828170120716095
geopotential_height_zerodegc_isotherm , temperature_surface 0.8231030702590942
temperature_surface , geopotential_height_zerodegc_isotherm 0.8231030702590942
upward_long_wave_rad_flux_surface , geopotential_height_zerodegc_isotherm 0.8177862763404846
geopotential_height_zerodegc_isotherm , upward_long_wave_rad_flux_surface 0.8177862763404846
land_cover_land1_sea0_surface , soil_type_as_in_zobler_surface 0.8163594603538513
soil_porosity_surface , soil_type_as_in_zobler_surface 0.8163594603538513
soil_type_as_in_zobler_surface , land_cover_land1_sea0_surface 0.8163594603538513
soil_type_as_in_zobler_surface , soil_porosity_surface 0.8163594603538513
downward_long_wave_rad_flux_surface , precipitable_water_entire_atmosphere 0.8031051754951477
precipitable_water_entire_atmosphere , downward_long_wave_rad_flux_surface 0.8031051754951477
geopotential_height_lltw , downward_long_wave_rad_flux_surface 0.8014726042747498
downward_long_wave_rad_flux_surface , geopotential_height_lltw 0.8014726042747498
albedo_surface , snow_cover_surface 0.7929044961929321
snow_cover_surface , albedo_surface 0.7929044961929321
number_of_soil_layers_in_root_zone_surface , soil_type_as_in_zobler_surface 0.789034903049469
soil_type_as_in_zobler_surface , number_of_soil_layers_in_root_zone_surface 0.789034903049469
number_of_soil_layers_in_root_zone_surface , surface_roughness_surface 0.7661380171775818
surface_roughness_surface , number_of_soil_layers_in_root_zone_surface 0.7661380171775818
downward_long_wave_rad_flux_surface , geopotential_height_zerodegc_isotherm 0.7556326985359192
geopotential_height_zerodegc_isotherm , downward_long_wave_rad_flux_surface 0.7556326985359192
geopotential_height_lltw , precipitable_water_entire_atmosphere 0.7544501423835754
precipitable_water_entire_atmosphere , geopotential_height_lltw 0.7544501423835754
land_cover_land1_sea0_surface , vegitation_type_as_in_sib_surface 0.7255169153213501
vegitation_type_as_in_sib_surface , land_cover_land1_sea0_surface 0.7255169153213501
vegitation_type_as_in_sib_surface , soil_porosity_surface 0.7255169153213501
soil_porosity_surface , vegitation_type_as_in_sib_surface 0.7255169153213501
vegitation_type_as_in_sib_surface , transpiration_stress-onset_soil_moisture_surface 0.7226011753082275
transpiration_stress-onset_soil_moisture_surface , vegitation_type_as_in_sib_surface 0.7226011753082275
temperature_surface , precipitable_water_entire_atmosphere 0.7086880207061768
precipitable_water_entire_atmosphere , temperature_surface 0.7086880207061768
geopotential_height_zerodegc_isotherm , precipitable_water_entire_atmosphere 0.7034165263175964
precipitable_water_entire_atmosphere , geopotential_height_zerodegc_isotherm 0.7034165263175964
number_of_soil_layers_in_root_zone_surface , vegetation_surface 0.6885391473770142
vegetation_surface , number_of_soil_layers_in_root_zone_surface 0.6885391473770142
upward_short_wave_rad_flux_surface , downward_short_wave_rad_flux_surface 0.6869674921035767
downward_short_wave_rad_flux_surface , upward_short_wave_rad_flux_surface 0.6869674921035767
upward_long_wave_rad_flux_surface , precipitable_water_entire_atmosphere 0.6801267862319946
precipitable_water_entire_atmosphere , upward_long_wave_rad_flux_surface 0.6801267862319946
transpiration_stress-onset_soil_moisture_surface , vegetation_surface 0.674560546875
vegetation_surface , transpiration_stress-onset_soil_moisture_surface 0.674560546875
land_cover_land1_sea0_surface , vegetation_surface 0.6711063385009766
soil_porosity_surface , vegetation_surface 0.6711063385009766
vegetation_surface , land_cover_land1_sea0_surface 0.6711063385009766
vegetation_surface , soil_porosity_surface 0.6711063385009766
vegitation_type_as_in_sib_surface , wilting_point_surface 0.6616336703300476
vegitation_type_as_in_sib_surface , direct_evaporation_cease_soil_moisture_surface 0.6616336703300476
wilting_point_surface , vegitation_type_as_in_sib_surface 0.6616336703300476
direct_evaporation_cease_soil_moisture_surface , vegitation_type_as_in_sib_surface 0.6616336703300476
convective_available_potential_energy_surface , precipitable_water_entire_atmosphere 0.6447710394859314
precipitable_water_entire_atmosphere , convective_available_potential_energy_surface 0.6447710394859314
land_cover_land1_sea0_surface , surface_roughness_surface 0.6343348622322083
soil_porosity_surface , surface_roughness_surface 0.6343348622322083
surface_roughness_surface , land_cover_land1_sea0_surface 0.6343348622322083
surface_roughness_surface , soil_porosity_surface 0.6343348622322083
vegetation_surface , wilting_point_surface 0.6286499500274658
vegetation_surface , direct_evaporation_cease_soil_moisture_surface 0.6286499500274658
wilting_point_surface , vegetation_surface 0.6286499500274658
direct_evaporation_cease_soil_moisture_surface , vegetation_surface 0.6286499500274658
transpiration_stress-onset_soil_moisture_surface , surface_roughness_surface 0.6248268485069275
surface_roughness_surface , transpiration_stress-onset_soil_moisture_surface 0.6248268485069275
land_cover_land1_sea0_surface , geopotential_height_surface 0.6128609776496887
soil_porosity_surface , geopotential_height_surface 0.6128609776496887
geopotential_height_surface , land_cover_land1_sea0_surface 0.6128609776496887
geopotential_height_surface , soil_porosity_surface 0.6128609776496887
categorical_rain_yes1_no0_surface , maximumcomposite_radar_reflectivity_entire_atmosphere 0.6120398640632629
maximumcomposite_radar_reflectivity_entire_atmosphere , categorical_rain_yes1_no0_surface 0.6120398640632629
vegetation_surface , surface_roughness_surface 0.60145503282547
surface_roughness_surface , vegetation_surface 0.60145503282547
vegitation_type_as_in_sib_surface , soil_type_as_in_zobler_surface 0.600020170211792
soil_type_as_in_zobler_surface , vegitation_type_as_in_sib_surface 0.600020170211792
transpiration_stress-onset_soil_moisture_surface , geopotential_height_surface 0.5988087058067322
geopotential_height_surface , transpiration_stress-onset_soil_moisture_surface 0.5988087058067322
number_of_soil_layers_in_root_zone_surface , vegitation_type_as_in_sib_surface 0.5942133069038391
vegitation_type_as_in_sib_surface , number_of_soil_layers_in_root_zone_surface 0.5942133069038391
lightning_surface , categorical_rain_yes1_no0_surface 0.5910093188285828
categorical_rain_yes1_no0_surface , lightning_surface 0.5910093188285828
number_of_soil_layers_in_root_zone_surface , geopotential_height_surface 0.5826089382171631
geopotential_height_surface , number_of_soil_layers_in_root_zone_surface 0.5826089382171631
snow_cover_surface , snow_depth_surface 0.5782191157341003
snow_depth_surface , snow_cover_surface 0.5782191157341003
vegetation_surface , soil_type_as_in_zobler_surface 0.5496826171875
soil_type_as_in_zobler_surface , vegetation_surface 0.5496826171875
surface_wind_gust_surface , friction_velocity_surface 0.5432224273681641
friction_velocity_surface , surface_wind_gust_surface 0.5432224273681641
surface_roughness_surface , wilting_point_surface 0.5391861796379089
surface_roughness_surface , direct_evaporation_cease_soil_moisture_surface 0.5391861796379089
wilting_point_surface , surface_roughness_surface 0.5391861796379089
direct_evaporation_cease_soil_moisture_surface , surface_roughness_surface 0.5391861796379089
albedo_surface , snow_depth_surface 0.5371907353401184
snow_depth_surface , albedo_surface 0.5371907353401184
snow_cover_surface , pressure_tropopause 0.5307775735855103
pressure_tropopause , snow_cover_surface 0.5307775735855103
soil_type_as_in_zobler_surface , geopotential_height_surface 0.5130459070205688
geopotential_height_surface , soil_type_as_in_zobler_surface 0.5130459070205688
geopotential_height_surface , wilting_point_surface 0.5109092593193054
geopotential_height_surface , direct_evaporation_cease_soil_moisture_surface 0.5109092593193054
wilting_point_surface , geopotential_height_surface 0.5109092593193054
direct_evaporation_cease_soil_moisture_surface , geopotential_height_surface 0.5109092593193054
land_cover_land1_sea0_surface , albedo_surface 0.5066624283790588
albedo_surface , land_cover_land1_sea0_surface 0.5066624283790588
albedo_surface , soil_porosity_surface 0.5066624283790588
soil_porosity_surface , albedo_surface 0.5066624283790588
relative_humidity_zerodegc_isotherm , pressure_tropopause 0.5040601491928101
pressure_tropopause , relative_humidity_zerodegc_isotherm 0.5040601491928101
albedo_surface , transpiration_stress-onset_soil_moisture_surface 0.49747928977012634
transpiration_stress-onset_soil_moisture_surface , albedo_surface 0.49747928977012634
water_equiv_of_accum_snow_depth_surface , snow_cover_surface 0.48770955204963684
snow_cover_surface , water_equiv_of_accum_snow_depth_surface 0.48770955204963684
albedo_surface , ice_cover_ice1_no_ice0_surface 0.4872770309448242
ice_cover_ice1_no_ice0_surface , albedo_surface 0.4872770309448242
downward_long_wave_rad_flux_surface , convective_available_potential_energy_surface 0.4866507947444916
convective_available_potential_energy_surface , downward_long_wave_rad_flux_surface 0.4866507947444916
vegitation_type_as_in_sib_surface , albedo_surface 0.4815320670604706
albedo_surface , vegitation_type_as_in_sib_surface 0.4815320670604706
soil_type_as_in_zobler_surface , surface_roughness_surface 0.480668842792511
surface_roughness_surface , soil_type_as_in_zobler_surface 0.480668842792511
upward_long_wave_rad_flux_surface , convective_available_potential_energy_surface 0.4761645793914795
convective_available_potential_energy_surface , upward_long_wave_rad_flux_surface 0.4761645793914795
number_of_soil_layers_in_root_zone_surface , albedo_surface 0.47061508893966675
albedo_surface , number_of_soil_layers_in_root_zone_surface 0.47061508893966675
albedo_surface , pressure_tropopause 0.4677489697933197
pressure_tropopause , albedo_surface 0.4677489697933197
temperature_surface , convective_available_potential_energy_surface 0.4671095907688141
convective_available_potential_energy_surface , temperature_surface 0.4671095907688141
relative_humidity_zerodegc_isotherm , temperature_tropopause 0.4550992548465729
temperature_tropopause , relative_humidity_zerodegc_isotherm 0.4550992548465729
water_equiv_of_accum_snow_depth_surface , albedo_surface 0.45422279834747314
albedo_surface , water_equiv_of_accum_snow_depth_surface 0.45422279834747314
number_of_soil_layers_in_root_zone_surface , plant_canopy_surface_water_surface 0.45017197728157043
plant_canopy_surface_water_surface , number_of_soil_layers_in_root_zone_surface 0.45017197728157043
relative_humidity_zerodegc_isotherm , maximumcomposite_radar_reflectivity_entire_atmosphere 0.44944143295288086
maximumcomposite_radar_reflectivity_entire_atmosphere , relative_humidity_zerodegc_isotherm 0.44944143295288086
friction_velocity_surface , geopotential_height_pblri 0.44639524817466736
geopotential_height_pblri , friction_velocity_surface 0.44639524817466736
land_cover_land1_sea0_surface , plant_canopy_surface_water_surface 0.43492257595062256
soil_porosity_surface , plant_canopy_surface_water_surface 0.43492257595062256
plant_canopy_surface_water_surface , land_cover_land1_sea0_surface 0.43492257595062256
plant_canopy_surface_water_surface , soil_porosity_surface 0.43492257595062256
temperature_tropopause , u-component_of_wind_pblri 0.4342445135116577
u-component_of_wind_pblri , temperature_tropopause 0.4342445135116577
albedo_surface , wilting_point_surface 0.4302162230014801
albedo_surface , direct_evaporation_cease_soil_moisture_surface 0.4302162230014801
wilting_point_surface , albedo_surface 0.4302162230014801
direct_evaporation_cease_soil_moisture_surface , albedo_surface 0.4302162230014801
transpiration_stress-onset_soil_moisture_surface , plant_canopy_surface_water_surface 0.4290103614330292
plant_canopy_surface_water_surface , transpiration_stress-onset_soil_moisture_surface 0.4290103614330292
geopotential_height_pblri , downward_short_wave_rad_flux_surface 0.4155919551849365
downward_short_wave_rad_flux_surface , geopotential_height_pblri 0.4155919551849365
vegitation_type_as_in_sib_surface , vegetation_surface 0.4137074053287506
vegetation_surface , vegitation_type_as_in_sib_surface 0.4137074053287506
friction_velocity_surface , surface_roughness_surface 0.4106416702270508
surface_roughness_surface , friction_velocity_surface 0.4106416702270508
number_of_soil_layers_in_root_zone_surface , friction_velocity_surface 0.4087468385696411
friction_velocity_surface , number_of_soil_layers_in_root_zone_surface 0.4087468385696411
albedo_surface , soil_type_as_in_zobler_surface 0.4078748822212219
soil_type_as_in_zobler_surface , albedo_surface 0.4078748822212219
geopotential_height_lltw , convective_available_potential_energy_surface 0.4067550301551819
convective_available_potential_energy_surface , geopotential_height_lltw 0.4067550301551819
pressure_tropopause , u-component_of_wind_pblri 0.4057791829109192
u-component_of_wind_pblri , pressure_tropopause 0.4057791829109192
geopotential_height_zerodegc_isotherm , convective_available_potential_energy_surface 0.40269407629966736
convective_available_potential_energy_surface , geopotential_height_zerodegc_isotherm 0.40269407629966736
vegitation_type_as_in_sib_surface , geopotential_height_surface 0.40254807472229004
geopotential_height_surface , vegitation_type_as_in_sib_surface 0.40254807472229004
geopotential_height_cloud_base , maximumcomposite_radar_reflectivity_entire_atmosphere 0.39465081691741943
maximumcomposite_radar_reflectivity_entire_atmosphere , geopotential_height_cloud_base 0.39465081691741943
upward_long_wave_rad_flux_surface , geopotential_height_pblri 0.38788074254989624
geopotential_height_pblri , upward_long_wave_rad_flux_surface 0.38788074254989624
temperature_surface , geopotential_height_pblri 0.37617406249046326
geopotential_height_pblri , temperature_surface 0.37617406249046326
lightning_surface , maximumcomposite_radar_reflectivity_entire_atmosphere 0.37332427501678467
maximumcomposite_radar_reflectivity_entire_atmosphere , lightning_surface 0.37332427501678467
plant_canopy_surface_water_surface , wilting_point_surface 0.3732515275478363
plant_canopy_surface_water_surface , direct_evaporation_cease_soil_moisture_surface 0.3732515275478363
wilting_point_surface , plant_canopy_surface_water_surface 0.3732515275478363
direct_evaporation_cease_soil_moisture_surface , plant_canopy_surface_water_surface 0.3732515275478363
land_cover_land1_sea0_surface , friction_velocity_surface 0.37218692898750305
soil_porosity_surface , friction_velocity_surface 0.37218692898750305
friction_velocity_surface , land_cover_land1_sea0_surface 0.37218692898750305
friction_velocity_surface , soil_porosity_surface 0.37218692898750305
plant_canopy_surface_water_surface , surface_roughness_surface 0.37165701389312744
surface_roughness_surface , plant_canopy_surface_water_surface 0.37165701389312744
pressure_tropopause , snow_depth_surface 0.36690759658813477
snow_depth_surface , pressure_tropopause 0.36690759658813477
upward_long_wave_rad_flux_surface , downward_short_wave_rad_flux_surface 0.36673539876937866
downward_short_wave_rad_flux_surface , upward_long_wave_rad_flux_surface 0.36673539876937866
snow_cover_surface , temperature_tropopause 0.36578139662742615
temperature_tropopause , snow_cover_surface 0.36578139662742615
transpiration_stress-onset_soil_moisture_surface , friction_velocity_surface 0.36421453952789307
friction_velocity_surface , transpiration_stress-onset_soil_moisture_surface 0.36421453952789307
number_of_soil_layers_in_root_zone_surface , snow_cover_surface 0.36143267154693604
snow_cover_surface , number_of_soil_layers_in_root_zone_surface 0.36143267154693604
plant_canopy_surface_water_surface , snow_cover_surface 0.3607867658138275
snow_cover_surface , plant_canopy_surface_water_surface 0.3607867658138275
relative_humidity_zerodegc_isotherm , snow_cover_surface 0.35365328192710876
snow_cover_surface , relative_humidity_zerodegc_isotherm 0.35365328192710876
land_cover_land1_sea0_surface , snow_cover_surface 0.34756094217300415
soil_porosity_surface , snow_cover_surface 0.34756094217300415
snow_cover_surface , land_cover_land1_sea0_surface 0.34756094217300415
snow_cover_surface , soil_porosity_surface 0.34756094217300415
ice_cover_ice1_no_ice0_surface , snow_cover_surface 0.3469286561012268
snow_cover_surface , ice_cover_ice1_no_ice0_surface 0.3469286561012268
temperature_surface , downward_short_wave_rad_flux_surface 0.34058186411857605
downward_short_wave_rad_flux_surface , temperature_surface 0.34058186411857605
soil_type_as_in_zobler_surface , plant_canopy_surface_water_surface 0.3403542637825012
plant_canopy_surface_water_surface , soil_type_as_in_zobler_surface 0.3403542637825012
albedo_surface , temperature_tropopause 0.3397102653980255
temperature_tropopause , albedo_surface 0.3397102653980255
upward_short_wave_rad_flux_surface , geopotential_height_pblri 0.3376425504684448
geopotential_height_pblri , upward_short_wave_rad_flux_surface 0.3376425504684448
transpiration_stress-onset_soil_moisture_surface , snow_cover_surface 0.33525967597961426
snow_cover_surface , transpiration_stress-onset_soil_moisture_surface 0.33525967597961426
pressure_maximum_wind , temperature_tropopause 0.32787930965423584
temperature_tropopause , pressure_maximum_wind 0.32787930965423584
pressure_maximum_wind , pressure_tropopause 0.3267422616481781
pressure_tropopause , pressure_maximum_wind 0.3267422616481781
pressure_surface , precipitable_water_entire_atmosphere 0.31974896788597107
precipitable_water_entire_atmosphere , pressure_surface 0.31974896788597107
relative_humidity_zerodegc_isotherm , albedo_surface 0.3185834586620331
albedo_surface , relative_humidity_zerodegc_isotherm 0.3185834586620331
vegetation_surface , geopotential_height_surface 0.31383320689201355
geopotential_height_surface , vegetation_surface 0.31383320689201355
albedo_surface , geopotential_height_surface 0.310951828956604
geopotential_height_surface , albedo_surface 0.310951828956604
friction_velocity_surface , wilting_point_surface 0.30995914340019226
friction_velocity_surface , direct_evaporation_cease_soil_moisture_surface 0.30995914340019226
wilting_point_surface , friction_velocity_surface 0.30995914340019226
direct_evaporation_cease_soil_moisture_surface , friction_velocity_surface 0.30995914340019226
pressure_surface , downward_long_wave_rad_flux_surface 0.30885782837867737
downward_long_wave_rad_flux_surface , pressure_surface 0.30885782837867737
number_of_soil_layers_in_root_zone_surface , temperature_tropopause 0.3070768713951111
temperature_tropopause , number_of_soil_layers_in_root_zone_surface 0.3070768713951111
downward_long_wave_rad_flux_surface , geopotential_height_cloud_base 0.30328747630119324
geopotential_height_cloud_base , downward_long_wave_rad_flux_surface 0.30328747630119324
water_equiv_of_accum_snow_depth_surface , pressure_tropopause 0.30217602849006653
pressure_tropopause , water_equiv_of_accum_snow_depth_surface 0.30217602849006653
categorical_snow_yes1_no0_surface , snow_cover_surface 0.30012407898902893
snow_cover_surface , categorical_snow_yes1_no0_surface 0.30012407898902893
relative_humidity_zerodegc_isotherm , plant_canopy_surface_water_surface 0.29796409606933594
plant_canopy_surface_water_surface , relative_humidity_zerodegc_isotherm 0.29796409606933594
number_of_soil_layers_in_root_zone_surface , pressure_tropopause 0.2973922789096832
pressure_tropopause , number_of_soil_layers_in_root_zone_surface 0.2973922789096832
upward_short_wave_rad_flux_surface , friction_velocity_surface 0.2973502278327942
friction_velocity_surface , upward_short_wave_rad_flux_surface 0.2973502278327942
land_cover_land1_sea0_surface , temperature_tropopause 0.29466933012008667
soil_porosity_surface , temperature_tropopause 0.29466933012008667
temperature_tropopause , land_cover_land1_sea0_surface 0.29466933012008667
temperature_tropopause , soil_porosity_surface 0.29466933012008667
relative_humidity_zerodegc_isotherm , categorical_rain_yes1_no0_surface 0.29088538885116577
categorical_rain_yes1_no0_surface , relative_humidity_zerodegc_isotherm 0.29088538885116577
upward_short_wave_rad_flux_surface , albedo_surface 0.28935477137565613
albedo_surface , upward_short_wave_rad_flux_surface 0.28935477137565613
transpiration_stress-onset_soil_moisture_surface , temperature_tropopause 0.28387507796287537
temperature_tropopause , transpiration_stress-onset_soil_moisture_surface 0.28387507796287537
visibility_surface , temperature_surface 0.2818812429904938
temperature_surface , visibility_surface 0.2818812429904938
friction_velocity_surface , temperature_tropopause 0.28011199831962585
temperature_tropopause , friction_velocity_surface 0.28011199831962585
land_cover_land1_sea0_surface , pressure_tropopause 0.27981704473495483
soil_porosity_surface , pressure_tropopause 0.27981704473495483
pressure_tropopause , land_cover_land1_sea0_surface 0.27981704473495483
pressure_tropopause , soil_porosity_surface 0.27981704473495483
geopotential_height_surface , surface_roughness_surface 0.2787269055843353
surface_roughness_surface , geopotential_height_surface 0.2787269055843353
soil_type_as_in_zobler_surface , friction_velocity_surface 0.2772517204284668
friction_velocity_surface , soil_type_as_in_zobler_surface 0.2772517204284668
vegetation_surface , friction_velocity_surface 0.2760434150695801
friction_velocity_surface , vegetation_surface 0.2760434150695801
friction_velocity_surface , pressure_tropopause 0.2755676805973053
pressure_tropopause , friction_velocity_surface 0.2755676805973053
u-component_of_wind_tropopause , u-component_of_wind_pblri 0.27354636788368225
u-component_of_wind_pblri , u-component_of_wind_tropopause 0.27354636788368225
upward_long_wave_rad_flux_surface , planetary_boundary_layer_height_surface 0.2724178433418274
planetary_boundary_layer_height_surface , upward_long_wave_rad_flux_surface 0.2724178433418274
vegetation_surface , plant_canopy_surface_water_surface 0.2720670700073242
plant_canopy_surface_water_surface , vegetation_surface 0.2720670700073242
u-component_of_wind_tropopause , temperature_tropopause 0.27053672075271606
temperature_tropopause , u-component_of_wind_tropopause 0.27053672075271606
plant_canopy_surface_water_surface , geopotential_height_surface 0.26988911628723145
geopotential_height_surface , plant_canopy_surface_water_surface 0.26988911628723145
snow_cover_surface , surface_roughness_surface 0.2692703306674957
surface_roughness_surface , snow_cover_surface 0.2692703306674957
transpiration_stress-onset_soil_moisture_surface , pressure_tropopause 0.268748015165329
pressure_tropopause , transpiration_stress-onset_soil_moisture_surface 0.268748015165329
total_cloud_cover_entire_atmosphere , upward_long_wave_rad_flux_surface 0.26736313104629517
upward_long_wave_rad_flux_surface , total_cloud_cover_entire_atmosphere 0.26736313104629517
visibility_surface , geopotential_height_zerodegc_isotherm 0.2664296329021454
geopotential_height_zerodegc_isotherm , visibility_surface 0.2664296329021454
snow_cover_surface , wilting_point_surface 0.2662336826324463
snow_cover_surface , direct_evaporation_cease_soil_moisture_surface 0.2662336826324463
wilting_point_surface , snow_cover_surface 0.2662336826324463
direct_evaporation_cease_soil_moisture_surface , snow_cover_surface 0.2662336826324463
visibility_surface , upward_long_wave_rad_flux_surface 0.2647344172000885
upward_long_wave_rad_flux_surface , visibility_surface 0.2647344172000885
categorical_snow_yes1_no0_surface , maximumcomposite_radar_reflectivity_entire_atmosphere 0.26456791162490845
maximumcomposite_radar_reflectivity_entire_atmosphere , categorical_snow_yes1_no0_surface 0.26456791162490845
number_of_soil_layers_in_root_zone_surface , snow_depth_surface 0.2631285488605499
snow_depth_surface , number_of_soil_layers_in_root_zone_surface 0.2631285488605499
land_cover_land1_sea0_surface , snow_depth_surface 0.25761979818344116
soil_porosity_surface , snow_depth_surface 0.25761979818344116
snow_depth_surface , land_cover_land1_sea0_surface 0.25761979818344116
snow_depth_surface , soil_porosity_surface 0.25761979818344116
number_of_soil_layers_in_root_zone_surface , relative_humidity_zerodegc_isotherm 0.25693216919898987
relative_humidity_zerodegc_isotherm , number_of_soil_layers_in_root_zone_surface 0.25693216919898987
soil_type_as_in_zobler_surface , snow_cover_surface 0.25380709767341614
snow_cover_surface , soil_type_as_in_zobler_surface 0.25380709767341614
friction_velocity_surface , u-component_of_wind_pblri 0.25365710258483887
u-component_of_wind_pblri , friction_velocity_surface 0.25365710258483887
vegitation_type_as_in_sib_surface , plant_canopy_surface_water_surface 0.2525072991847992
plant_canopy_surface_water_surface , vegitation_type_as_in_sib_surface 0.2525072991847992
relative_humidity_zerodegc_isotherm , land_cover_land1_sea0_surface 0.24705465137958527
relative_humidity_zerodegc_isotherm , soil_porosity_surface 0.24705465137958527
land_cover_land1_sea0_surface , relative_humidity_zerodegc_isotherm 0.24705465137958527
soil_porosity_surface , relative_humidity_zerodegc_isotherm 0.24705465137958527
albedo_surface , plant_canopy_surface_water_surface 0.24340397119522095
plant_canopy_surface_water_surface , albedo_surface 0.24340397119522095
transpiration_stress-onset_soil_moisture_surface , snow_depth_surface 0.2418173998594284
snow_depth_surface , transpiration_stress-onset_soil_moisture_surface 0.2418173998594284
categorical_snow_yes1_no0_surface , snow_depth_surface 0.24086050689220428
snow_depth_surface , categorical_snow_yes1_no0_surface 0.24086050689220428
relative_humidity_zerodegc_isotherm , transpiration_stress-onset_soil_moisture_surface 0.24016736447811127
transpiration_stress-onset_soil_moisture_surface , relative_humidity_zerodegc_isotherm 0.24016736447811127
ice_cover_ice1_no_ice0_surface , pressure_tropopause 0.23650166392326355
pressure_tropopause , ice_cover_ice1_no_ice0_surface 0.23650166392326355
vegitation_type_as_in_sib_surface , snow_cover_surface 0.2363777905702591
snow_cover_surface , vegitation_type_as_in_sib_surface 0.2363777905702591
